subject_id,n_epochs,n_channels,sfreq,n_times,tmin,tmax,duration
018,19,60,500.0,5000,0.0,9.998,9.998
029,22,60,500.0,5000,0.0,9.998,9.998
031,19,60,500.0,5000,0.0,9.998,9.998
037,25,60,500.0,5000,0.0,9.998,9.998
038,30,60,500.0,5000,0.0,9.998,9.998
045,19,60,500.0,5000,0.0,9.998,9.998
075,26,60,500.0,5000,0.0,9.998,9.998
091,23,60,500.0,5000,0.0,9.998,9.998
094,30,60,500.0,5000,0.0,9.998,9.998
117,28,60,500.0,5000,0.0,9.998,9.998
132,17,60,500.0,5000,0.0,9.998,9.998
134,19,60,500.0,5000,0.0,9.998,9.998
