subject_id,n_epochs,n_channels,sfreq,n_times,tmin,tmax,duration
001,24,60,500.0,5000,0.0,9.998,9.998
020,22,60,500.0,5000,0.0,9.998,9.998
021,24,60,500.0,5000,0.0,9.998,9.998
022,18,60,500.0,5000,0.0,9.998,9.998
024,22,60,500.0,5000,0.0,9.998,9.998
047,19,60,500.0,5000,0.0,9.998,9.998
049,20,60,500.0,5000,0.0,9.998,9.998
051,27,60,500.0,5000,0.0,9.998,9.998
072,27,60,500.0,5000,0.0,9.998,9.998
073,26,60,500.0,5000,0.0,9.998,9.998
076,17,60,500.0,5000,0.0,9.998,9.998
092,15,60,500.0,5000,0.0,9.998,9.998
113,29,60,500.0,5000,0.0,9.998,9.998
150,21,60,500.0,5000,0.0,9.998,9.998
