subject_id,n_epochs,n_channels,sfreq,n_times,tmin,tmax,duration
std_006,20,60,500.0,5000,0.0,9.998,9.998
std_010,5,60,500.0,5000,0.0,9.998,9.998
std_068,20,60,500.0,5000,0.0,9.998,9.998
std_079,28,60,500.0,5000,0.0,9.998,9.998
std_080,9,60,500.0,5000,0.0,9.998,9.998
std_093,26,60,500.0,5000,0.0,9.998,9.998
std_100,2,60,500.0,5000,0.0,9.998,9.998
std_108,21,60,500.0,5000,0.0,9.998,9.998
std_109,11,60,500.0,5000,0.0,9.998,9.998
std_112,8,60,500.0,5000,0.0,9.998,9.998
std_127,15,60,500.0,5000,0.0,9.998,9.998
std_133,23,60,500.0,5000,0.0,9.998,9.998
