subject_id,group,freq_band,clustering,path_length,sigma,avg_connectivity
std_006,std,delta,0.4483716930429663,0.19078913796245625,0.42666964703623944,0.19442135957718243
std_010,std,delta,0.5474313539693318,0.37424822307271427,0.26556884736398767,0.37535265172225246
std_068,std,delta,0.4734283273693936,0.20455804629123303,0.42018919528176524,0.21090213231273922
std_079,std,delta,0.4551188558941518,0.20448592777734442,0.40408116766090524,0.20758546174073786
std_080,std,delta,0.46628107025822724,0.2811048336472066,0.30115264295656613,0.28302857258570757
std_093,std,delta,0.315777499326755,0.18695938652198862,0.30664869063847544,0.1938315739299884
std_100,std,delta,0.5471810146197801,0.4836704938946608,0.20539441671163428,0.525715327136869
std_108,std,delta,0.3408197419824077,0.20152134482369588,0.3070512702596043,0.20555598948163192
std_109,std,delta,0.5541080776977019,0.24434945408154993,0.41170895746815317,0.24527726692844237
std_112,std,delta,0.4627330773309438,0.24902496810643382,0.33736098783929563,0.25463823583014394
std_127,std,delta,0.398230312473414,0.21361399671951833,0.33846348086938516,0.2170001822489521
std_133,std,delta,0.39732379390379,0.19789859034397442,0.36450969240905673,0.20908867600098263
std_006,std,theta,0.4875204546730531,0.18539754719581067,0.47741500599111736,0.18670387212346698
std_010,std,theta,0.5535050885178834,0.3731404161499223,0.2693125140068358,0.37364751274631375
std_068,std,theta,0.49805483056577166,0.22320518120435273,0.4051166500792835,0.22710073032933717
std_079,std,theta,0.4413758216915236,0.18804996161341808,0.426130380375504,0.19527254473513253
std_080,std,theta,0.503698662349906,0.2733514001806705,0.3345466631422831,0.2754918622632553
std_093,std,theta,0.4980734179203085,0.17461337064478916,0.5178727698529814,0.1765213427883953
std_100,std,theta,0.5862882105514527,0.5241559873225844,0.20307563408248538,0.5392999862202011
std_108,std,theta,0.5155172402969252,0.1938778322407919,0.4827499599229427,0.19460225594992026
std_109,std,theta,0.4824372835881738,0.26216818870808295,0.33409353952677834,0.26299372392799436
std_112,std,theta,0.5299903647113968,0.24356827890312904,0.39505217261223896,0.24632423866611547
std_127,std,theta,0.46175213456510805,0.2137559138303254,0.3921913227266185,0.21528639015203707
std_133,std,theta,0.4698718185274921,0.17754432002684054,0.4804849875211071,0.17818717759764188
std_006,std,alpha,0.3605548430291537,0.2143104021269514,0.30544659630684473,0.21916029688711638
std_010,std,alpha,0.6657372216637357,0.3549130386617878,0.3405556519900412,0.3549130386617922
std_068,std,alpha,0.48063839096202676,0.20611941951922114,0.42335700889412986,0.206554780104132
std_079,std,alpha,0.4754984444526666,0.23032727215179832,0.37480980558405097,0.23862064599851232
std_080,std,alpha,0.5579745997211666,0.31011040951220176,0.32666702139070597,0.31048090297010206
std_093,std,alpha,0.47913109511171365,0.23246244173462619,0.37420429644198433,0.24232004840180305
std_100,std,alpha,0.6031629084097102,0.49836047413315526,0.21973449709586473,0.5035559986706547
std_108,std,alpha,0.6274797008516697,0.23465371082519593,0.48548907571095384,0.23536480505573215
std_109,std,alpha,0.49677687043612834,0.2510488735812778,0.3592611848417559,0.25140135150105253
std_112,std,alpha,0.56618115889789,0.2737869724160828,0.37544804002278886,0.27395037110889553
std_127,std,alpha,0.6240370531308462,0.21299730438314693,0.5319165190834224,0.2130526937705402
std_133,std,alpha,0.48249918701936256,0.23251019887198307,0.3767573955603258,0.23659071095891074
std_006,std,beta,0.5241441046867102,0.2004648627217761,0.47470045966227514,0.2005157432186871
std_010,std,beta,0.6511248639671567,0.3733743020451329,0.31661177584485395,0.37337430204513256
std_068,std,beta,0.6442390408885351,0.1876357088578322,0.6233597475893397,0.18763802160769166
std_079,std,beta,0.3959954379589282,0.20383491685900337,0.3527108421729039,0.20672302224487782
std_080,std,beta,0.7203325278197487,0.2802208492564362,0.46670213681650735,0.28022084925643326
std_093,std,beta,0.5293760874941527,0.19473099669352972,0.49355600572179625,0.19478538443748056
std_100,std,beta,0.7178116203580317,0.5143621766280104,0.25336619362042284,0.5143621766280108
std_108,std,beta,0.6286961963712453,0.18541992142943609,0.6155901298692286,0.18541992142943656
std_109,std,beta,0.5642217467823039,0.25737511901650856,0.39800677830195313,0.2573754193736354
std_112,std,beta,0.7372429289371943,0.27685680774440646,0.48346230306437443,0.27685680774440813
std_127,std,beta,0.7814785848734169,0.21112058237244047,0.6720378193614117,0.2111205823724408
std_133,std,beta,0.5821944328271823,0.19124818104378305,0.5526853369994206,0.1912896956220075
std_006,std,gamma,0.4817272526758749,0.19227148576346043,0.45487654295629043,0.19246118157668282
std_010,std,gamma,0.5762697239607293,0.39305271822501636,0.26618415930760236,0.39305271822501675
std_068,std,gamma,0.3994880383645551,0.18857110786844736,0.38462351739427386,0.1889362816627381
std_079,std,gamma,0.3801696056041489,0.17194249795552055,0.4014221828413013,0.17258497292732344
std_080,std,gamma,0.5164947637710678,0.2772473112915361,0.33822506400721203,0.27728264800888036
std_093,std,gamma,0.390113132192731,0.16503190377923813,0.4291705059340815,0.16550333716121096
std_100,std,gamma,0.6455080351879794,0.5073483743031385,0.2309950041717479,0.50739327272047
std_108,std,gamma,0.7251219244975072,0.1723033778932318,0.7640547018734731,0.17230337789323058
std_109,std,gamma,0.5157986841498072,0.27289292067606113,0.3431588219017641,0.2730694530896574
std_112,std,gamma,0.6076082297313955,0.2707346503535759,0.4074619057995263,0.270734650353575
std_127,std,gamma,0.6542724490464679,0.221309537172148,0.5367421613565441,0.2213117820930144
std_133,std,gamma,0.46226224399310084,0.217220983177734,0.38636151103201005,0.21950641022512643
