subject_id,group,Delta,Theta,Alpha,Beta,Gamma
018,adhd,2.8130403380405262e-11,3.2623137874005673e-12,1.6814647996902687e-12,2.464228118308404e-13,6.749326876427988e-14
029,adhd,1.1994793338830999e-11,5.30239511177657e-12,1.7995997934214104e-12,3.183868374131012e-13,8.900979927509971e-14
031,adhd,1.1093055299392354e-11,1.293141465375695e-12,4.601824258823313e-13,1.9758927668055994e-13,1.6471207307562527e-13
037,adhd,2.4665488756891522e-11,1.0373104306198112e-11,4.341498055834843e-12,1.448975699922736e-12,8.100162829794026e-13
038,adhd,9.824418880522008e-12,3.1549864133515518e-12,2.931533184623486e-12,4.0896422288393666e-13,2.397410210524162e-13
045,adhd,1.511642482026717e-11,2.4899523355805387e-12,1.4525980473955645e-12,8.847253897569428e-13,1.4437109444792672e-13
075,adhd,7.203212335223851e-12,3.1546500816205466e-12,4.794012206555511e-12,3.3728721882412645e-13,2.003742305291409e-13
091,adhd,1.3735366372437899e-11,2.350188806201529e-12,1.6744270651899236e-12,3.2098396876899227e-13,1.147847388113265e-13
094,adhd,1.1220453090271977e-11,3.0286767683285825e-12,4.539054577223201e-12,3.5418101065184293e-13,1.399173463624646e-13
117,adhd,6.8736032939828116e-12,1.6763147613980899e-12,8.034145580366478e-13,1.9138967508680478e-13,1.4426698955500424e-13
132,adhd,2.1743085760028825e-11,4.0264620251211134e-12,2.606869949533897e-12,6.129012013061755e-13,4.802499479870552e-13
134,adhd,1.981956763097751e-11,3.848499936220874e-12,1.848601717687816e-12,3.572183316714082e-13,3.3726698087390556e-13
