subject_id,group,Delta,Theta,Alpha,Beta,Gamma
001,com,1.0038050879444593e-11,3.534695053971848e-12,3.4564916567031034e-12,2.462519951977414e-13,8.131912961645443e-14
020,com,9.994331654784951e-12,2.2411182795266585e-12,1.0238609922569754e-12,2.2677101015680092e-13,9.903619071124043e-14
021,com,9.305388894844499e-12,2.2085096827741654e-12,1.9399867708719566e-12,6.038492402643083e-13,2.498596437482959e-13
022,com,4.896229217874217e-12,8.599615247190252e-13,5.692338575117796e-13,1.8610294576977575e-13,9.576527368647557e-14
024,com,1.8102995188033037e-11,5.366911153413906e-12,1.376023151052877e-12,4.2106061009320706e-13,1.525534039259033e-13
047,com,9.721068914132162e-12,2.4930426876549728e-12,2.1710479399866287e-12,3.6841756038780755e-13,1.3249211762317261e-13
049,com,1.1722767167321156e-11,2.4522728466725655e-12,3.710723485409784e-12,2.7288760910355076e-13,1.1810480301115149e-13
051,com,1.5609084298549018e-11,5.231929864522858e-12,4.321657489409844e-12,6.730556567579296e-13,1.744145372940862e-13
072,com,3.412154062330449e-11,1.690136877330156e-12,1.5431176657895063e-12,3.6152955993655514e-13,3.734864845026414e-13
073,com,1.019528208821071e-11,3.573960772940593e-12,1.5375362903462592e-12,4.457032172592851e-13,1.927756878410799e-13
076,com,2.3372461076205653e-11,3.154185601229981e-12,1.861021900276288e-12,4.4813900667933746e-13,1.2918303942899612e-13
092,com,1.917401277862954e-11,3.192126043060418e-12,2.0603604457465987e-12,3.8986462632815193e-13,1.4438002536665765e-13
113,com,1.2232996613228087e-11,7.67033592305483e-12,9.414520451083219e-12,7.325033022958823e-13,1.9426181797472314e-13
150,com,4.877505967387687e-12,1.1893032801720815e-12,9.431107888232592e-13,2.336763761988614e-13,8.847492557884651e-14
