subject_id,n_epochs,n_channels,sfreq,n_times,tmin,tmax,duration
001,25,60,500.0,5000,0.0,9.998,9.998
021,32,60,500.0,5000,0.0,9.998,9.998
022,22,60,500.0,5000,0.0,9.998,9.998
024,25,60,500.0,5000,0.0,9.998,9.998
047,18,60,500.0,5000,0.0,9.998,9.998
049,23,60,500.0,5000,0.0,9.998,9.998
051,29,60,500.0,5000,0.0,9.998,9.998
071,33,60,500.0,5000,0.0,9.998,9.998
072,25,60,500.0,5000,0.0,9.998,9.998
073,28,60,500.0,5000,0.0,9.998,9.998
076,18,60,500.0,5000,0.0,9.998,9.998
092,16,60,500.0,5000,0.0,9.998,9.998
