metric,freq_band,test,statistic,p,effect_size,es_name,all_normal,is_homogeneous,p_fdr,significant
clustering,alpha,ANOVA,0.3354430286952553,0.7175843200104917,0.021183052983576027,η²,True,True,0.8782129304102677,False
path_length,alpha,Kruskal-Wallis,0.7439975990396164,0.6893550700808325,-0.04051620648259302,ε²,False,True,0.8782129304102677,False
sigma,alpha,ANOVA,0.8731363435999449,0.4276585976969741,0.05332737267171429,η²,True,True,0.8782129304102677,False
avg_connectivity,alpha,Kruskal-Wallis,0.6153061224489846,0.7351703328643135,-0.04466754443712953,ε²,False,True,0.8782129304102677,False
clustering,beta,ANOVA,0.7497172832540947,0.48087397734961257,0.04613725089400201,η²,True,True,0.8782129304102677,False
path_length,beta,Kruskal-Wallis,2.842617046818731,0.2413979352927446,0.02718119505866874,ε²,False,True,0.8046597843091486,False
sigma,beta,ANOVA,0.3191114238431601,0.7291535642987618,0.02017252520025756,η²,True,True,0.8782129304102677,False
avg_connectivity,beta,Kruskal-Wallis,2.932653061224485,0.23077166267001029,0.030085582620144685,ε²,False,True,0.8046597843091486,False
clustering,delta,ANOVA,0.5498811053823435,0.5825431745934742,0.03426075880387312,η²,True,True,0.8782129304102677,False
path_length,delta,Kruskal-Wallis,0.3025210084033745,0.8596237338940415,-0.0547573868256976,ε²,False,True,0.8782129304102677,False
sigma,delta,Kruskal-Wallis,0.5630252100840494,0.7546414033287279,-0.046354025481159696,ε²,False,True,0.8782129304102677,False
avg_connectivity,delta,Kruskal-Wallis,0.3175870348139398,0.8531725060542044,-0.054271385973743876,ε²,False,True,0.8782129304102677,False
clustering,gamma,ANOVA,0.516221574390189,0.6018111944723492,0.032231170878381246,η²,True,True,0.8782129304102677,False
path_length,gamma,ANOVA,1.9533573107882192,0.15886094250067465,0.11191871431984135,η²,True,True,0.8046597843091486,False
sigma,gamma,Kruskal-Wallis,1.6998799519807903,0.4274405878766854,-0.009681291871587408,ε²,False,True,0.8782129304102677,False
avg_connectivity,gamma,ANOVA,1.9646662877812167,0.15727395258287313,0.11249377774574221,η²,True,True,0.8046597843091486,False
clustering,theta,ANOVA,1.725963636591737,0.19466894134031873,0.10019547660749784,η²,True,True,0.8046597843091486,False
path_length,theta,Kruskal-Wallis,3.5042016806722813,0.1734092553505395,0.04852263486039617,ε²,False,True,0.8046597843091486,False
sigma,theta,ANOVA,0.13041175944240302,0.8782129304102677,0.008343462824235577,η²,True,True,0.8782129304102677,False
avg_connectivity,theta,ANOVA,1.1037294783862737,0.3443132724042429,0.0664747928965627,η²,True,True,0.8782129304102677,False
