metric,freq_band,test,statistic,p,effect_size,es_name,all_normal,is_homogeneous,p_fdr,significant
between_prefrontal_left_pot,delta,Kruskal-Wallis,0.6172268907563137,0.7344646258555422,-0.044605584169151176,ε²,False,True,0.8557594990946096,False
between_prefrontal_left_pot,theta,ANOVA,0.23854110385704666,0.7892089394337122,0.015156494003029746,η²,True,True,0.8844582941929533,False
between_prefrontal_left_pot,alpha,ANOVA,0.0835064949611741,0.9200913196606225,0.005358646013859289,η²,True,True,0.9344677465303197,False
between_prefrontal_left_pot,beta,Kruskal-Wallis,2.0936374549820016,0.3510527691031082,0.0030205630639355357,ε²,False,True,0.777188109944333,False
between_prefrontal_left_pot,gamma,ANOVA,1.9633744289176303,0.15745438241276122,0.11242812418122759,η²,True,True,0.7752809772199897,False
within_central_L,delta,ANOVA,0.558819515722587,0.5775375900922137,0.0347982935592163,η²,True,True,0.8557594990946096,False
within_central_L,theta,Kruskal-Wallis,0.8535414165666282,0.6526131738687118,-0.03698253494946361,ε²,False,True,0.8557594990946096,False
within_central_L,alpha,Kruskal-Wallis,1.8696278511404643,0.39265892251939,-0.004205553189017282,ε²,False,True,0.786900791094151,False
within_central_L,beta,Kruskal-Wallis,3.7418967587034757,0.1539775634059594,0.056190218022692764,ε²,False,True,0.7752809772199897,False
within_central_L,gamma,ANOVA,1.0599314208163595,0.35870220458969215,0.06400578564498124,η²,True,True,0.777188109944333,False
within_central_R,delta,ANOVA,0.858490138134743,0.43363214183613497,0.05247979067049952,η²,True,True,0.786900791094151,False
within_central_R,theta,Kruskal-Wallis,0.18271308523409857,0.9126922392009229,-0.05862215854083553,ε²,False,True,0.9344677465303197,False
within_central_R,alpha,Kruskal-Wallis,2.507142857142867,0.28548339046849436,0.016359447004608608,ε²,False,True,0.7752809772199897,False
within_central_R,beta,Kruskal-Wallis,3.231392557022801,0.19875223534115902,0.03972234054912261,ε²,False,True,0.7752809772199897,False
within_central_R,gamma,ANOVA,2.037626149321967,0.14743269296280262,0.11618597248982554,η²,True,True,0.7752809772199897,False
within_frontal_L,delta,ANOVA,0.8242931545834905,0.44792814262282443,0.05049487575221874,η²,True,True,0.786900791094151,False
within_frontal_L,theta,ANOVA,0.3349038338455432,0.7179631480888562,0.021149723254379322,η²,True,True,0.8557594990946096,False
within_frontal_L,alpha,ANOVA,1.8926693034516324,0.16767356900065505,0.10881994422075439,η²,True,True,0.7752809772199897,False
within_frontal_L,beta,ANOVA,0.5813488880661091,0.5651229861578527,0.036150505291103245,η²,True,True,0.8557594990946096,False
