metric,freq_band,com_mean,com_std,std_mean,std_std,test,statistic,p_value,cohens_d,is_normal,p_fdr,significant
clustering,delta,0.44186725857890563,0.05477757790534142,0.45056706815573855,0.07425602565217906,t-test,-0.3126982742885642,0.7574547812769323,-0.13333499216297012,True,0.7973208223967709,False
clustering,theta,0.46594188655452945,0.07561996840444794,0.502340443996583,0.0383793442045714,t-test,-1.4235580782728783,0.16860291292769977,-0.6070072041231875,True,0.2107536411596247,False
clustering,alpha,0.43113425943778466,0.04460733580677586,0.5349726228071724,0.08365803059207351,t-test,-3.632545283766283,0.0014713529141111724,-1.5489225133863311,True,0.01419935453965426,True
clustering,beta,0.5263075272794956,0.12304345089079126,0.6230714644137171,0.10531430608053144,t-test,-1.9815459876687291,0.060162699589124624,-0.8449340481251172,True,0.10027116598187438,False
clustering,gamma,0.36477066299275895,0.05581885113787651,0.5295695069312805,0.10854092910467908,Mann-Whitney U,10.0,0.0003842020270349707,-1.9095082380675144,False,0.007684040540699414,True
path_length,delta,0.18971686258162515,0.028114176590300653,0.25268536693689797,0.08610003945407041,Mann-Whitney U,23.0,0.005107905424995494,-0.9831856013494843,False,0.017026351416651646,True
path_length,theta,0.1900361570724558,0.020712136904084657,0.2527356998350598,0.0979351511610856,Mann-Whitney U,35.0,0.03508911609404786,-0.8858073982249147,False,0.07346203561495217,False
path_length,alpha,0.20938968534092237,0.030744586828602278,0.27096670982645227,0.08031140091034802,Mann-Whitney U,33.0,0.02622938783485702,-1.012651899488517,False,0.07346203561495217,False
path_length,beta,0.19961652612779848,0.038375931594379506,0.2563870353890246,0.09441526737991451,Mann-Whitney U,35.0,0.03508911609404786,-0.7877595307504536,False,0.07346203561495217,False
path_length,gamma,0.16906915960804422,0.01565432163795559,0.25416057237159234,0.09854524423950825,Mann-Whitney U,20.0,0.002945646150532981,-1.2060169885281722,False,0.01419935453965426,True
sigma,delta,0.4270400335400917,0.053583874231104896,0.3407332497079223,0.06529408417300517,t-test,3.388894219936528,0.0026403514875610883,1.4450293506877105,True,0.01419935453965426,True
sigma,theta,0.4489626910560592,0.08206105434733138,0.3931701333200146,0.09033887877085905,t-test,1.5161789755835582,0.143712160045998,0.6465008874354603,True,0.19161621339466398,False
sigma,alpha,0.38106757956420817,0.06488565429025424,0.37447059107690567,0.07739771633384786,t-test,0.21663577432443887,0.8304884777514433,0.09237380454844543,True,0.8304884777514433,False
sigma,beta,0.49585126710707067,0.146444596579168,0.4752324607520406,0.12322415647880978,t-test,0.357305863186685,0.7242676247994839,0.15235573197892194,True,0.7973208223967709,False
sigma,gamma,0.39390002886076675,0.06488119664452022,0.4119396732146523,0.13146054724857334,Mann-Whitney U,63.0,0.623604884395689,-0.17402440563939242,False,0.7336528051713987,False
avg_connectivity,delta,0.19418681347983288,0.027844954667833145,0.2601997857913025,0.09395389540524653,Mann-Whitney U,21.0,0.003549838634913565,-0.9526824143628564,False,0.01419935453965426,True
avg_connectivity,theta,0.19549066820666292,0.02521601345017852,0.25595263645831756,0.10072494559738633,Mann-Whitney U,40.0,0.06896433333905408,-0.8234940480071312,False,0.1060989743677755,False
avg_connectivity,alpha,0.2156068014879828,0.035604910691110964,0.2738304703407703,0.08036498263377766,Mann-Whitney U,36.0,0.040404119588223694,-0.936764590201765,False,0.07346203561495217,False
avg_connectivity,beta,0.20122381390194588,0.04155356461712439,0.2566401604983535,0.09427655099898216,Mann-Whitney U,36.0,0.040404119588223694,-0.760672402215837,False,0.07346203561495217,False
avg_connectivity,gamma,0.19126732451788162,0.02097515776904018,0.25451167382807716,0.0983783032563517,Mann-Whitney U,43.0,0.09987740276926416,-0.8891685044587309,False,0.14268200395609165,False
