roi,band,comparison,beta,se,p,icc,p_fdr,significant
frontal,Delta,ADHD vs TD,0.15292255767994675,0.1504499263584191,0.30942232755949706,0.6824916510158672,0.9999995732716651,False
frontal,Delta,COM vs TD,0.09780283001812448,0.14610800493098572,0.5032485071893612,0.6824916510158672,0.9999995732716651,False
frontal,Theta,ADHD vs TD,0.10335108127841366,0.10786885630275862,0.33800331399092387,0.7378352406568728,0.9999995732716651,False
frontal,Theta,COM vs TD,0.04669134636639938,0.10475257679380207,0.65579242719368,0.7378352406568728,0.9999995732716651,False
frontal,Alpha,ADHD vs TD,0.004988342701937607,0.1331584506834251,0.9701168730591307,0.7952947569361849,0.9999995732716651,False
frontal,Alpha,COM vs TD,-0.0057157865781552976,0.12930788492782055,0.9647426515151938,0.7952947569361849,0.9999995732716651,False
frontal,Beta,ADHD vs TD,0.07179105621685343,0.12116113703234507,0.5534987893902235,0.7872066926449958,0.9999995732716651,False
frontal,Beta,COM vs TD,0.0172260427560475,0.11765794312025446,0.8835994557191804,0.7872066926449958,0.9999995732716651,False
frontal,Gamma,ADHD vs TD,0.12717359313465665,0.13209092396325198,0.3356613847890828,0.5498243252643465,0.9999995732716651,False
frontal,Gamma,COM vs TD,0.010553213941752498,0.1282918279802898,0.934440407163436,0.5498243252643465,0.9999995732716651,False
central,Delta,ADHD vs TD,0.06840482862071094,0.11791155165371105,0.5618223783958837,0.584134153870497,0.9999995732716651,False
central,Delta,COM vs TD,0.024097809818646232,0.11451653366883636,0.833331428419392,0.584134153870497,0.9999995732716651,False
central,Theta,ADHD vs TD,0.07848191404629536,0.10474381444184762,0.4536915159888081,0.7736561643508596,0.9999995732716651,False
central,Theta,COM vs TD,0.04906108717154627,0.10171598379343814,0.6295686292610985,0.7736561643508596,0.9999995732716651,False
central,Alpha,ADHD vs TD,-0.010364799925484527,0.13227833874101416,0.9375448823163725,0.764867789275161,0.9999995732716651,False
central,Alpha,COM vs TD,0.013793261012382693,0.12845513669968528,0.914489074040372,0.764867789275161,0.9999995732716651,False
central,Beta,ADHD vs TD,0.038585594143763315,0.1181952719127097,0.7440791280843689,0.820973558186326,0.9999995732716651,False
central,Beta,COM vs TD,0.009714928172162749,0.11477607863876227,0.9325456521738089,0.820973558186326,0.9999995732716651,False
