pair,pair_label,freq_band,component_id,n_edges,n_nodes,stat,p_value,significant,direction
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,delta,1,1,2,1,0.7444185271576141,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,delta,2,1,2,1,0.7444185271576141,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,delta,3,1,2,1,0.7444185271576141,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,delta,4,1,2,1,0.7444185271576141,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,theta,1,5,6,5,0.16994335221592802,False,positive
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,theta,2,1,2,1,0.7360879706764412,False,positive
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,theta,3,1,2,1,0.7360879706764412,False,positive
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,theta,4,1,2,1,0.769410196601133,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,theta,5,1,2,1,0.769410196601133,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,alpha,1,1,2,1,0.5798067310896368,False,positive
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,alpha,2,1,2,1,0.5798067310896368,False,positive
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,alpha,3,2,3,2,0.38520493168943687,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,alpha,4,1,2,1,0.6341219593468844,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,alpha,5,1,2,1,0.6341219593468844,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,beta,1,2,3,2,0.1922692435854715,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,beta,2,3,4,3,0.13595468177274242,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,beta,3,1,2,1,0.37220926357880707,False,negative
adhd_vs_com,ADHD单纯组 vs ADHD共患阅读困难组,gamma,0,0,0,0,1.0,False,
adhd_vs_td,ADHD单纯组 vs 正常发展组,delta,1,1,2,1,0.9476841052982339,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,delta,2,2,3,2,0.7154281906031323,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,delta,3,1,2,1,0.9476841052982339,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,delta,4,2,3,2,0.5891369543485505,False,negative
adhd_vs_td,ADHD单纯组 vs 正常发展组,delta,5,1,2,1,0.9100299900033322,False,negative
adhd_vs_td,ADHD单纯组 vs 正常发展组,theta,1,13,13,13,0.10429856714428523,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,theta,2,3,4,3,0.4231922692435855,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,theta,3,1,2,1,0.8453848717094302,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,alpha,1,4,5,4,0.3505498167277574,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,alpha,2,6,6,6,0.2679106964345218,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,beta,1,1,2,1,0.530489836721093,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,beta,2,1,2,1,0.530489836721093,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,beta,3,1,2,1,0.41319560146617795,False,negative
adhd_vs_td,ADHD单纯组 vs 正常发展组,beta,4,1,2,1,0.41319560146617795,False,negative
adhd_vs_td,ADHD单纯组 vs 正常发展组,beta,5,1,2,1,0.41319560146617795,False,negative
adhd_vs_td,ADHD单纯组 vs 正常发展组,beta,6,2,3,2,0.22192602465844719,False,negative
adhd_vs_td,ADHD单纯组 vs 正常发展组,gamma,1,42,32,42,0.032322559146951015,True,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,gamma,2,1,2,1,0.6047984005331556,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,gamma,3,1,2,1,0.6047984005331556,False,positive
adhd_vs_td,ADHD单纯组 vs 正常发展组,gamma,4,1,2,1,0.46451182939020325,False,negative
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,delta,1,4,5,4,0.38253915361546154,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,delta,2,1,2,1,0.8537154281906031,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,delta,3,1,2,1,0.8537154281906031,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,delta,4,1,2,1,0.8537154281906031,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,delta,5,1,2,1,0.8537154281906031,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,delta,6,1,2,1,0.8537154281906031,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,delta,7,1,2,1,0.7864045318227257,False,negative
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,theta,1,1,2,1,0.927357547484172,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,theta,2,3,4,3,0.5538153948683772,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,theta,3,2,3,2,0.7034321892702432,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,theta,4,1,2,1,0.927357547484172,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,alpha,1,1,2,1,0.7837387537487505,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,alpha,2,1,2,1,0.7837387537487505,False,positive
com_vs_td,ADHD共患阅读困难组 vs 正常发展组,alpha,3,1,2,1,0.7837387537487505,False,positive
