pair,freq_band,ch1,ch2,t_value,component_p
adhd_vs_td,gamma,F1,CP4,4.744371905469068,0.03365544818393869
com_vs_td,gamma,CP5,PO4,4.579616814404497,0.032322559146951015
adhd_vs_td,gamma,CP5,PO8,4.5609830503551505,0.03365544818393869
adhd_vs_td,gamma,CP5,P8,4.298835292940978,0.03365544818393869
adhd_vs_td,gamma,CP6,F1,4.256968297749287,0.03365544818393869
com_vs_td,gamma,FC5,F8,4.156351224905812,0.032322559146951015
com_vs_td,gamma,C4,F1,4.126312124937488,0.032322559146951015
com_vs_td,gamma,CP5,P2,4.0940592220181555,0.032322559146951015
adhd_vs_td,gamma,CP5,P6,4.0169706297566785,0.03365544818393869
com_vs_td,gamma,TP7,CP4,3.96235274294091,0.032322559146951015
adhd_vs_td,gamma,CP3,P6,3.9354456500740733,0.03365544818393869
adhd_vs_td,gamma,C4,F1,3.8943327686530465,0.03365544818393869
com_vs_td,gamma,CP5,PO8,3.8881812585131725,0.032322559146951015
adhd_vs_td,gamma,CP5,F1,3.8736503985259763,0.03365544818393869
com_vs_td,gamma,TP7,TP8,3.7472479985790175,0.032322559146951015
com_vs_td,gamma,CP6,CP3,3.736571299723799,0.032322559146951015
com_vs_td,gamma,Fp1,F9,3.6973985110438803,0.032322559146951015
com_vs_td,gamma,CP1,CP4,3.6883136265682874,0.032322559146951015
adhd_vs_td,gamma,P8,CP3,3.676054975956048,0.03365544818393869
com_vs_td,gamma,P4,CP3,3.6437059244453236,0.032322559146951015
adhd_vs_td,gamma,P8,F4,3.586237127982898,0.03365544818393869
com_vs_td,gamma,CP5,O2,3.5808411825475885,0.032322559146951015
adhd_vs_td,gamma,F1,C6,3.576969056448232,0.03365544818393869
adhd_vs_td,gamma,CP5,AF3,3.575756582355082,0.03365544818393869
com_vs_td,gamma,TP7,FCz,3.565950083745559,0.032322559146951015
com_vs_td,gamma,P2,AF4,3.5631069097914674,0.032322559146951015
com_vs_td,gamma,F8,FT7,3.559945507940346,0.032322559146951015
com_vs_td,gamma,P1,FC4,3.559206163675119,0.032322559146951015
adhd_vs_td,gamma,CP6,AF3,3.546725779108207,0.03365544818393869
com_vs_td,gamma,FC6,CP4,3.5438221802945007,0.032322559146951015
com_vs_td,gamma,T8,P5,3.5269139939459517,0.032322559146951015
adhd_vs_td,gamma,CP6,CP3,3.5240773536421126,0.03365544818393869
com_vs_td,gamma,CP5,F8,3.5117615078266007,0.032322559146951015
adhd_vs_td,gamma,P4,CP3,3.5103019333473697,0.03365544818393869
